Player_Name,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Half_Centuries,Fours,Sixes,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Player_Role,Fantasy_Points_Per_Match
Abdul Samad,18.756,124.774,21.0,6.142,9.6,35.0,8.0,410.0,298.0,0.0,23.0,26.0,35.0,54.0,113.0,2.0,0.0,Bowler,15.971428571428572
Abhinav Manohar,18.5,140.675,0.0,0.0,0.0,17.0,1.0,222.0,158.0,0.0,20.0,10.0,17.0,0.0,0.0,0.0,0.0,Batsman,15.647058823529411
Abhishek Sharma,25.858571428571427,141.97714285714284,20.642857142857142,6.547142857142857,13.285714285714286,48.0,6.0,925.0,669.0,4.0,96.0,33.0,48.0,228.0,338.0,9.0,0.0,Bowler,28.5
Abishek Porel,4.125,213.225,0.0,0.0,0.0,5.0,1.0,65.0,41.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,Batsman,16.8
Adam Zampa,1.6666666666666667,23.80666666666667,26.286666666666665,7.776666666666666,19.5,11.0,0.0,5.0,8.0,0.0,1.0,0.0,14.0,287.0,370.0,21.0,0.0,Bowler,38.214285714285715
Aiden Markram,29.345000000000002,131.52,33.5,6.2475000000000005,21.25,34.0,7.0,793.0,603.0,4.0,57.0,31.0,34.0,109.0,157.0,2.0,0.0,Bowler,29.764705882352942
Ajinkya Rahane,26.356875000000002,115.935,0.3125,0.3125,0.375,174.0,17.0,4439.0,3596.0,30.0,455.0,98.0,170.0,6.0,5.0,1.0,0.0,Batsman,30.833333333333332
Akash Deep,8.5,106.25,50.0,11.34,26.3,7.0,0.0,17.0,10.0,0.0,2.0,1.0,7.0,143.0,264.0,6.0,0.0,Bowler,23.857142857142858
Akash Madhwal,0.0,0.0,15.64,8.59,10.93,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,153.0,219.0,14.0,1.0,Bowler,45.5
Akash Singh,0.0,0.0,18.8,9.82,11.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,138.0,227.0,5.0,0.0,Bowler,18.714285714285715
Alzarri Joseph,1.25,61.285,41.3375,9.695,25.235,21.0,6.0,27.0,32.0,0.0,3.0,0.0,21.0,422.0,657.0,21.0,0.0,Bowler,26.714285714285715
Amit Mishra,10.426666666666668,70.23066666666666,25.040666666666667,7.454,19.857333333333333,154.0,25.0,381.0,419.0,0.0,31.0,5.0,161.0,3359.0,4129.0,173.0,4.0,Bowler,29.74534161490683
Andre Russell,22.954166666666666,158.72166666666666,34.050000000000004,9.859166666666667,20.769166666666667,113.0,19.0,2326.0,1325.0,11.0,153.0,200.0,113.0,1533.0,2376.0,98.0,2.0,Bowler,48.2212389380531
Anmolpreet Singh,16.25,114.11000000000001,0.0,0.0,0.0,7.0,0.0,134.0,109.0,0.0,18.0,3.0,7.0,0.0,0.0,0.0,0.0,Batsman,22.571428571428573
